customer_id	age	age_group	plan_type	customer_value	subscription_in_months	complain_registered	lost_customer	nb_call_seconds	nb_calls	nb_lost_calls	nb_sms	nb_distinct_numbers
Client0001	30	Group_3	PayAsYouGo	197.64	38	No	FALSE	4370	71	8	5	17
Client0003	30	Group_3	PayAsYouGo	1536.52	37	No	FALSE	2453	60	10	359	24
Client0004	15	Group_1	PayAsYouGo	240.02	38	No	FALSE	4198	66	10	1	35
Client0005	15	Group_1	PayAsYouGo	145.805	38	No	FALSE	2393	58	3	2	33
Client0006	30	Group_3	PayAsYouGo	282.28	38	No	FALSE	3775	82	11	32	28
Client0007	30	Group_3	PayAsYouGo	1235.96	38	No	FALSE	2360	39	4	285	18
Client0008	30	Group_3	PayAsYouGo	945.44	37	No	FALSE	9115	121	13	144	43
Client0009	30	Group_3	PayAsYouGo	557.68	38	No	FALSE	13773	169	7	0	44
Client0010	30	Group_3	PayAsYouGo	191.92	38	No	FALSE	4515	83	7	2	25
Client0011	30	Group_3	PayAsYouGo	268.52	38	No	FALSE	5918	95	6	7	12
Client0013	30	Group_3	PayAsYouGo	830.6	38	No	FALSE	15140	225	25	54	32
Client0014	30	Group_3	PayAsYouGo	2056.88	38	No	FALSE	3095	27	4	483	8
Client0015	25	Group_2	PayAsYouGo	1380.015	37	No	FALSE	15485	182	9	150	30
Client0016	30	Group_3	PayAsYouGo	1007.44	37	No	FALSE	6500	86	3	186	26
Client0020	25	Group_2	PayAsYouGo	2071.575	37	No	FALSE	7508	127	3	384	43
Client0021	45	Group_4	PayAsYouGo	317.975	37	No	FALSE	11465	154	7	11	47
Client0022	25	Group_2	PayAsYouGo	791.685	37	No	FALSE	6718	75	8	108	37
Client0024	55	Group_5	Contractual	159.42	36	Yes	FALSE	10435	93	21	1	42
Client0025	25	Group_2	PayAsYouGo	383.22	36	Yes	TRUE	5818	98	13	26	24
Client0026	30	Group_3	PayAsYouGo	114.48	34	No	FALSE	2840	22	1	0	14
Client0030	30	Group_3	PayAsYouGo	67.72	36	No	FALSE	1668	25	1	0	6
Client0031	55	Group_5	PayAsYouGo	124.23	33	No	FALSE	6785	97	3	14	22
Client0033	55	Group_5	PayAsYouGo	11.13	36	No	FALSE	338	4	0	4	2
Client0034	25	Group_2	Contractual	734.085	31	No	FALSE	16075	238	25	0	80
Client0035	25	Group_2	Contractual	1538.145	34	No	FALSE	6965	116	6	271	33
Client0036	25	Group_2	PayAsYouGo	180	36	No	FALSE	3718	82	2	2	28
Client0038	25	Group_2	PayAsYouGo	914.985	36	No	FALSE	2780	53	6	175	23
Client0039	25	Group_2	Contractual	929.295	27	No	FALSE	1315	36	4	193	11
Client0040	45	Group_4	PayAsYouGo	115.175	26	No	FALSE	1568	39	4	30	68
Client0043	25	Group_2	PayAsYouGo	142.065	25	No	FALSE	1225	32	10	19	13
Client0044	30	Group_3	PayAsYouGo	163.44	25	No	FALSE	3225	61	2	8	23
Client0045	25	Group_2	PayAsYouGo	203.445	18	No	FALSE	1695	26	2	28	14
Client0046	25	Group_2	Contractual	676.53	17	No	FALSE	6393	141	16	85	42
Client0047	45	Group_4	PayAsYouGo	410.1	15	No	FALSE	8933	171	12	73	40
Client0048	30	Group_3	Contractual	239.92	16	No	FALSE	2853	45	8	31	19
Client0049	30	Group_3	PayAsYouGo	1037.2	9	No	FALSE	4390	40	2	215	10
Client0050	30	Group_3	PayAsYouGo	60.28	9	No	TRUE	1488	19	3	0	7
Client0051	30	Group_3	PayAsYouGo	220.16	40	No	FALSE	4430	74	11	10	19
Client0052	30	Group_3	PayAsYouGo	63.44	41	No	FALSE	378	8	3	12	6
Client0053	30	Group_3	PayAsYouGo	1559.04	39	No	FALSE	2513	63	13	364	26
Client0054	15	Group_1	PayAsYouGo	270.985	40	No	FALSE	4258	69	13	6	37
Client0055	25	Group_2	PayAsYouGo	144.63	40	No	FALSE	2453	61	6	7	35
Client0056	30	Group_3	Contractual	304.8	40	No	FALSE	3835	85	14	37	30
Client0057	30	Group_3	PayAsYouGo	1258.48	40	No	FALSE	2420	42	7	290	20
Client0058	30	Group_3	PayAsYouGo	967.96	39	No	FALSE	9175	124	16	149	45
Client0059	30	Group_3	PayAsYouGo	580.2	40	No	FALSE	13833	172	10	5	46
Client0060	30	Group_3	PayAsYouGo	214.44	40	No	FALSE	4575	86	10	7	27
Client0061	30	Group_3	PayAsYouGo	291.04	40	No	FALSE	5978	98	9	12	14
Client0062	30	Group_3	PayAsYouGo	146.2	40	No	FALSE	2298	57	12	13	19
Client0063	30	Group_3	PayAsYouGo	853.12	40	No	FALSE	15200	228	28	59	34
Client0064	30	Group_3	PayAsYouGo	2079.4	40	No	FALSE	3155	30	7	488	10
Client0065	25	Group_2	PayAsYouGo	1405.35	39	No	FALSE	15545	185	12	155	32
Client0066	30	Group_3	PayAsYouGo	1029.96	39	No	FALSE	6560	89	6	191	28
Client0067	25	Group_2	PayAsYouGo	65.34	39	No	FALSE	935	17	3	5	13
Client0068	30	Group_3	PayAsYouGo	103.48	40	No	FALSE	770	17	5	18	10
Client0069	25	Group_2	PayAsYouGo	25.335	39	Yes	TRUE	60	3	3	5	2
Client0070	30	Group_3	PayAsYouGo	1863.92	39	No	FALSE	7568	130	6	389	45
