"user_id","activity","value"
2984,"nb_call_seconds",17090
2384,"nb_call_seconds",16640
2584,"nb_call_seconds",16980
2484,"nb_call_seconds",16560
2684,"nb_call_seconds",16495
2934,"nb_call_seconds",16380
884,"nb_call_seconds",16785
284,"nb_call_seconds",16335
484,"nb_call_seconds",16675
2184,"nb_call_seconds",16440
384,"nb_call_seconds",16255
2284,"nb_call_seconds",16460
2784,"nb_call_seconds",16570
584,"nb_call_seconds",16190
834,"nb_call_seconds",16075
2134,"nb_call_seconds",16380
3084,"nb_call_seconds",16380
3134,"nb_call_seconds",16380
1934,"nb_call_seconds",16480
2834,"nb_call_seconds",16190
1334,"nb_call_seconds",16030
1534,"nb_call_seconds",16370
2334,"nb_call_seconds",16300
2963,"nb_call_seconds",16155
84,"nb_call_seconds",16135
2234,"nb_call_seconds",16320
2363,"nb_call_seconds",15705
2563,"nb_call_seconds",16045
184,"nb_call_seconds",16155
1434,"nb_call_seconds",15950
684,"nb_call_seconds",16265
2463,"nb_call_seconds",15625
34,"nb_call_seconds",16075
984,"nb_call_seconds",16075
1034,"nb_call_seconds",16075
1634,"nb_call_seconds",15885
1884,"nb_call_seconds",15770
2734,"nb_call_seconds",16265
2884,"nb_call_seconds",16380
734,"nb_call_seconds",15885
2663,"nb_call_seconds",15560
2913,"nb_call_seconds",15445
234,"nb_call_seconds",15995
863,"nb_call_seconds",15850
2534,"nb_call_seconds",16200
134,"nb_call_seconds",16015
263,"nb_call_seconds",15400
463,"nb_call_seconds",15740
1134,"nb_call_seconds",15830
1234,"nb_call_seconds",15850
2163,"nb_call_seconds",15505
2434,"nb_call_seconds",16120
2634,"nb_call_seconds",15780
363,"nb_call_seconds",15320
1734,"nb_call_seconds",15960
2263,"nb_call_seconds",15525
3034,"nb_call_seconds",15670
634,"nb_call_seconds",15960
784,"nb_call_seconds",16075
1084,"nb_call_seconds",15770
2034,"nb_call_seconds",15770
2084,"nb_call_seconds",15770
2763,"nb_call_seconds",15635
563,"nb_call_seconds",15255
813,"nb_call_seconds",15140
1784,"nb_call_seconds",15580
2113,"nb_call_seconds",15445
3063,"nb_call_seconds",15445
3113,"nb_call_seconds",15445
434,"nb_call_seconds",15895
1284,"nb_call_seconds",15690
1913,"nb_call_seconds",15545
2813,"nb_call_seconds",15255
1184,"nb_call_seconds",15710
1313,"nb_call_seconds",15095
1513,"nb_call_seconds",15435
2313,"nb_call_seconds",15365
63,"nb_call_seconds",15200
334,"nb_call_seconds",15815
534,"nb_call_seconds",15475
2213,"nb_call_seconds",15385
163,"nb_call_seconds",15220
934,"nb_call_seconds",15365
1413,"nb_call_seconds",15015
663,"nb_call_seconds",15330
1684,"nb_call_seconds",15655
1834,"nb_call_seconds",15770
13,"nb_call_seconds",15140
963,"nb_call_seconds",15140
1013,"nb_call_seconds",15140
1613,"nb_call_seconds",14950
1863,"nb_call_seconds",14835
2713,"nb_call_seconds",15330
2863,"nb_call_seconds",15445
713,"nb_call_seconds",14950
1484,"nb_call_seconds",15590
213,"nb_call_seconds",15060
2513,"nb_call_seconds",15265
113,"nb_call_seconds",15080
1113,"nb_call_seconds",14895
1384,"nb_call_seconds",15510
1584,"nb_call_seconds",15170
1213,"nb_call_seconds",14915
1984,"nb_call_seconds",15060
2413,"nb_call_seconds",15185
2613,"nb_call_seconds",14845
1713,"nb_call_seconds",15025
3013,"nb_call_seconds",14735
613,"nb_call_seconds",15025
763,"nb_call_seconds",15140
1063,"nb_call_seconds",14835
2013,"nb_call_seconds",14835
2063,"nb_call_seconds",14835
1763,"nb_call_seconds",14645
413,"nb_call_seconds",14960
1263,"nb_call_seconds",14755
1163,"nb_call_seconds",14775
313,"nb_call_seconds",14880
513,"nb_call_seconds",14540
913,"nb_call_seconds",14430
1663,"nb_call_seconds",14720
1813,"nb_call_seconds",14835
1463,"nb_call_seconds",14655
1363,"nb_call_seconds",14575
1563,"nb_call_seconds",14235
1963,"nb_call_seconds",14125
2965,"nb_call_seconds",16500
2365,"nb_call_seconds",16050
2565,"nb_call_seconds",16390
2465,"nb_call_seconds",15970
2665,"nb_call_seconds",15905
2915,"nb_call_seconds",15790
865,"nb_call_seconds",16195
265,"nb_call_seconds",15745
465,"nb_call_seconds",16085
2165,"nb_call_seconds",15850
365,"nb_call_seconds",15665
2265,"nb_call_seconds",15870
2765,"nb_call_seconds",15980
565,"nb_call_seconds",15600
815,"nb_call_seconds",15485
2115,"nb_call_seconds",15790
2997,"nb_call_seconds",9947
3065,"nb_call_seconds",15790
3115,"nb_call_seconds",15790
1915,"nb_call_seconds",15890
2397,"nb_call_seconds",9498
2597,"nb_call_seconds",9838
2815,"nb_call_seconds",15600
1315,"nb_call_seconds",15440
1515,"nb_call_seconds",15780
2315,"nb_call_seconds",15710
2959,"nb_call_seconds",14788
65,"nb_call_seconds",15545
2215,"nb_call_seconds",15730
2359,"nb_call_seconds",14338
2497,"nb_call_seconds",9418
2559,"nb_call_seconds",14678
165,"nb_call_seconds",15565
1415,"nb_call_seconds",15360
665,"nb_call_seconds",15675
2459,"nb_call_seconds",14258
2697,"nb_call_seconds",9353
2947,"nb_call_seconds",9237
15,"nb_call_seconds",15485
897,"nb_call_seconds",9642
965,"nb_call_seconds",15485
1015,"nb_call_seconds",15485
1615,"nb_call_seconds",15295
1865,"nb_call_seconds",15180
2715,"nb_call_seconds",15675
2865,"nb_call_seconds",15790
297,"nb_call_seconds",9193
497,"nb_call_seconds",9533
715,"nb_call_seconds",15295
2659,"nb_call_seconds",14193
2909,"nb_call_seconds",14078
215,"nb_call_seconds",15405
859,"nb_call_seconds",14483
2197,"nb_call_seconds",9298
2515,"nb_call_seconds",15610
115,"nb_call_seconds",15425
259,"nb_call_seconds",14033
397,"nb_call_seconds",9113
459,"nb_call_seconds",14373
1115,"nb_call_seconds",15240
2297,"nb_call_seconds",9318
1215,"nb_call_seconds",15260
2159,"nb_call_seconds",14138
2415,"nb_call_seconds",15530
2615,"nb_call_seconds",15190
2797,"nb_call_seconds",9427
359,"nb_call_seconds",13953
597,"nb_call_seconds",9048
847,"nb_call_seconds",8932
1715,"nb_call_seconds",15370
2147,"nb_call_seconds",9238
2259,"nb_call_seconds",14158
3015,"nb_call_seconds",15080
3097,"nb_call_seconds",9237
3147,"nb_call_seconds",9237
615,"nb_call_seconds",15370
765,"nb_call_seconds",15485
1065,"nb_call_seconds",15180
1947,"nb_call_seconds",9337
2015,"nb_call_seconds",15180
2065,"nb_call_seconds",15180
2759,"nb_call_seconds",14268
2847,"nb_call_seconds",9047
559,"nb_call_seconds",13888
809,"nb_call_seconds",13773
1347,"nb_call_seconds",8888
1547,"nb_call_seconds",9228
1765,"nb_call_seconds",14990
2109,"nb_call_seconds",14078
2347,"nb_call_seconds",9158
3059,"nb_call_seconds",14078
3109,"nb_call_seconds",14078
97,"nb_call_seconds",8993
415,"nb_call_seconds",15305
1265,"nb_call_seconds",15100
1909,"nb_call_seconds",14178
2247,"nb_call_seconds",9178
2809,"nb_call_seconds",13888
197,"nb_call_seconds",9013
1165,"nb_call_seconds",15120
1309,"nb_call_seconds",13728
1447,"nb_call_seconds",8808
1509,"nb_call_seconds",14068
2309,"nb_call_seconds",13998
59,"nb_call_seconds",13833
315,"nb_call_seconds",15225
515,"nb_call_seconds",14885
697,"nb_call_seconds",9122
2209,"nb_call_seconds",14018
47,"nb_call_seconds",8933
159,"nb_call_seconds",13853
915,"nb_call_seconds",14775
997,"nb_call_seconds",8932
1047,"nb_call_seconds",8932
1409,"nb_call_seconds",13648
1647,"nb_call_seconds",8743
1897,"nb_call_seconds",8627
2747,"nb_call_seconds",9123
2897,"nb_call_seconds",9237
2971,"nb_call_seconds",12480
659,"nb_call_seconds",13963
747,"nb_call_seconds",8742
1665,"nb_call_seconds",15065
1815,"nb_call_seconds",15180
2371,"nb_call_seconds",12030
2571,"nb_call_seconds",12370
9,"nb_call_seconds",13773
247,"nb_call_seconds",8853
959,"nb_call_seconds",13773
1009,"nb_call_seconds",13773
1609,"nb_call_seconds",13583
1859,"nb_call_seconds",13468
2547,"nb_call_seconds",9058
2709,"nb_call_seconds",13963
2859,"nb_call_seconds",14078
147,"nb_call_seconds",8873
