"customer_id"	"age"	"age_group"	"plan_type"	"customer_value"	"subscription_in_months"	"complain_registered"	"lost_customer"
"Client0001"	30	"Group_3"	"PayAsYouGo"	197.64	38	"No"	FALSE
"Client0003"	30	"Group_3"	"PayAsYouGo"	1536.52	37	"No"	FALSE
"Client0004"	15	"Group_1"	"PayAsYouGo"	240.02	38	"No"	FALSE
"Client0005"	15	"Group_1"	"PayAsYouGo"	145.805	38	"No"	FALSE
"Client0006"	30	"Group_3"	"PayAsYouGo"	282.28	38	"No"	FALSE
"Client0007"	30	"Group_3"	"PayAsYouGo"	1235.96	38	"No"	FALSE
"Client0008"	30	"Group_3"	"PayAsYouGo"	945.44	37	"No"	FALSE
"Client0009"	30	"Group_3"	"PayAsYouGo"	557.68	38	"No"	FALSE
"Client0010"	30	"Group_3"	"PayAsYouGo"	191.92	38	"No"	FALSE
"Client0011"	30	"Group_3"	"PayAsYouGo"	268.52	38	"No"	FALSE
"Client0013"	30	"Group_3"	"PayAsYouGo"	830.6	38	"No"	FALSE
"Client0014"	30	"Group_3"	"PayAsYouGo"	2056.88	38	"No"	FALSE
"Client0015"	25	"Group_2"	"PayAsYouGo"	1380.015	37	"No"	FALSE
"Client0016"	30	"Group_3"	"PayAsYouGo"	1007.44	37	"No"	FALSE
"Client0020"	25	"Group_2"	"PayAsYouGo"	2071.575	37	"No"	FALSE
"Client0021"	45	"Group_4"	"PayAsYouGo"	317.975	37	"No"	FALSE
"Client0022"	25	"Group_2"	"PayAsYouGo"	791.685	37	"No"	FALSE
"Client0024"	55	"Group_5"	"Contractual"	159.42	36	"Yes"	FALSE
"Client0025"	25	"Group_2"	"PayAsYouGo"	383.22	36	"Yes"	TRUE
"Client0026"	30	"Group_3"	"PayAsYouGo"	114.48	34	"No"	FALSE
"Client0030"	30	"Group_3"	"PayAsYouGo"	67.72	36	"No"	FALSE
"Client0031"	55	"Group_5"	"PayAsYouGo"	124.23	33	"No"	FALSE
"Client0033"	55	"Group_5"	"PayAsYouGo"	11.13	36	"No"	FALSE
"Client0034"	25	"Group_2"	"Contractual"	734.085	31	"No"	FALSE
"Client0035"	25	"Group_2"	"Contractual"	1538.145	34	"No"	FALSE
"Client0036"	25	"Group_2"	"PayAsYouGo"	180	36	"No"	FALSE
"Client0038"	25	"Group_2"	"PayAsYouGo"	914.985	36	"No"	FALSE
"Client0039"	25	"Group_2"	"Contractual"	929.295	27	"No"	FALSE
"Client0040"	45	"Group_4"	"PayAsYouGo"	115.175	26	"No"	FALSE
"Client0043"	25	"Group_2"	"PayAsYouGo"	142.065	25	"No"	FALSE
"Client0044"	30	"Group_3"	"PayAsYouGo"	163.44	25	"No"	FALSE
"Client0045"	25	"Group_2"	"PayAsYouGo"	203.445	18	"No"	FALSE
"Client0046"	25	"Group_2"	"Contractual"	676.53	17	"No"	FALSE
"Client0047"	45	"Group_4"	"PayAsYouGo"	410.1	15	"No"	FALSE
"Client0048"	30	"Group_3"	"Contractual"	239.92	16	"No"	FALSE
"Client0049"	30	"Group_3"	"PayAsYouGo"	1037.2	9	"No"	FALSE
"Client0050"	30	"Group_3"	"PayAsYouGo"	60.28	9	"No"	TRUE
"Client0051"	30	"Group_3"	"PayAsYouGo"	220.16	40	"No"	FALSE
"Client0052"	30	"Group_3"	"PayAsYouGo"	63.44	41	"No"	FALSE
"Client0053"	30	"Group_3"	"PayAsYouGo"	1559.04	39	"No"	FALSE
"Client0054"	15	"Group_1"	"PayAsYouGo"	270.985	40	"No"	FALSE
"Client0055"	25	"Group_2"	"PayAsYouGo"	144.63	40	"No"	FALSE
"Client0056"	30	"Group_3"	"Contractual"	304.8	40	"No"	FALSE
"Client0057"	30	"Group_3"	"PayAsYouGo"	1258.48	40	"No"	FALSE
"Client0058"	30	"Group_3"	"PayAsYouGo"	967.96	39	"No"	FALSE
"Client0059"	30	"Group_3"	"PayAsYouGo"	580.2	40	"No"	FALSE
"Client0060"	30	"Group_3"	"PayAsYouGo"	214.44	40	"No"	FALSE
"Client0061"	30	"Group_3"	"PayAsYouGo"	291.04	40	"No"	FALSE
"Client0062"	30	"Group_3"	"PayAsYouGo"	146.2	40	"No"	FALSE
"Client0063"	30	"Group_3"	"PayAsYouGo"	853.12	40	"No"	FALSE
"Client0064"	30	"Group_3"	"PayAsYouGo"	2079.4	40	"No"	FALSE
"Client0065"	25	"Group_2"	"PayAsYouGo"	1405.35	39	"No"	FALSE
"Client0066"	30	"Group_3"	"PayAsYouGo"	1029.96	39	"No"	FALSE
"Client0067"	25	"Group_2"	"PayAsYouGo"	65.34	39	"No"	FALSE
"Client0068"	30	"Group_3"	"PayAsYouGo"	103.48	40	"No"	FALSE
"Client0069"	25	"Group_2"	"PayAsYouGo"	25.335	39	"Yes"	TRUE
"Client0070"	30	"Group_3"	"PayAsYouGo"	1863.92	39	"No"	FALSE
"Client0071"	45	"Group_4"	"Contractual"	332.05	39	"No"	FALSE
"Client0072"	25	"Group_2"	"PayAsYouGo"	817.02	39	"No"	FALSE
"Client0073"	30	"Group_3"	"PayAsYouGo"	126.6	35	"Yes"	TRUE
"Client0074"	55	"Group_5"	"Contractual"	167.865	38	"Yes"	FALSE
"Client0075"	25	"Group_2"	"PayAsYouGo"	408.555	38	"No"	FALSE
"Client0076"	30	"Group_3"	"PayAsYouGo"	137	36	"No"	FALSE
"Client0077"	30	"Group_3"	"PayAsYouGo"	179.76	37	"No"	TRUE
"Client0078"	30	"Group_3"	"PayAsYouGo"	251	38	"Yes"	TRUE
"Client0079"	30	"Group_3"	"PayAsYouGo"	27.92	38	"No"	TRUE
"Client0080"	45	"Group_4"	"PayAsYouGo"	56.4	38	"No"	FALSE
"Client0081"	55	"Group_5"	"PayAsYouGo"	132.675	35	"No"	FALSE
"Client0082"	45	"Group_4"	"PayAsYouGo"	52.45	38	"No"	TRUE
"Client0083"	55	"Group_5"	"PayAsYouGo"	19.575	38	"No"	FALSE
"Client0084"	25	"Group_2"	"PayAsYouGo"	759.42	33	"No"	FALSE
"Client0085"	30	"Group_3"	"Contractual"	1389.76	36	"Yes"	FALSE
"Client0086"	30	"Group_3"	"PayAsYouGo"	182.52	38	"No"	FALSE
"Client0087"	30	"Group_3"	"PayAsYouGo"	242.88	37	"No"	FALSE
"Client0088"	25	"Group_2"	"PayAsYouGo"	940.32	38	"No"	FALSE
"Client0089"	30	"Group_3"	"Contractual"	848.56	29	"No"	FALSE
"Client0090"	45	"Group_4"	"PayAsYouGo"	129.25	28	"No"	FALSE
"Client0091"	30	"Group_3"	"PayAsYouGo"	91.52	29	"No"	FALSE
"Client0092"	45	"Group_4"	"PayAsYouGo"	87.45	28	"No"	FALSE
"Client0093"	25	"Group_2"	"PayAsYouGo"	167.4	27	"No"	FALSE
"Client0094"	30	"Group_3"	"PayAsYouGo"	185.96	27	"No"	FALSE
"Client0095"	25	"Group_2"	"PayAsYouGo"	228.78	20	"No"	FALSE
"Client0096"	25	"Group_2"	"Contractual"	701.865	19	"No"	FALSE
"Client0097"	55	"Group_5"	"PayAsYouGo"	254.505	17	"No"	FALSE
"Client0098"	30	"Group_3"	"PayAsYouGo"	262.44	18	"No"	FALSE
